Month,PartyPair,Party,InterjectionScore,speech_tokens,interjection_rate
2022-12,SPD–>GRUENE,GRUENE,8.0,57304,1.3960631020522127
2023-01,FDP–>GRUENE,GRUENE,4.0,53520,0.7473841554559044
2023-01,FDP–>SPD,SPD,9.0,94753,0.9498379998522475
2023-01,GRUENE–>FDP,FDP,3.0,44299,0.6772161899817151
2023-01,GRUENE–>SPD,SPD,13.0,94753,1.3719882220088018
2023-01,SPD–>FDP,FDP,4.0,44299,0.9029549199756203
2023-01,SPD–>GRUENE,GRUENE,4.0,53520,0.7473841554559044
2023-02,FDP–>GRUENE,GRUENE,-2.0,33820,-0.5913660555884093
2023-02,FDP–>SPD,SPD,7.0,53783,1.3015265046576057
2023-02,GRUENE–>FDP,FDP,-13.0,23675,-5.4910242872228086
2023-02,GRUENE–>SPD,SPD,6.0,53783,1.1155941468493762
2023-02,SPD–>FDP,FDP,5.0,23675,2.1119324181626187
2023-02,SPD–>GRUENE,GRUENE,4.0,33820,1.1827321111768185
2023-03,FDP–>GRUENE,GRUENE,4.0,82782,0.4831968302287937
2023-03,FDP–>SPD,SPD,16.0,154167,1.0378355938689863
2023-03,GRUENE–>FDP,FDP,14.0,70306,1.9912951952891644
2023-03,GRUENE–>SPD,SPD,37.0,154167,2.399994810822031
2023-03,SPD–>FDP,FDP,2.0,70306,0.28447074218416635
2023-03,SPD–>GRUENE,GRUENE,18.0,82782,2.1743857360295715
2023-04,FDP–>GRUENE,GRUENE,-3.0,61335,-0.48911714355588165
2023-04,FDP–>SPD,SPD,5.0,84560,0.5912961210974456
2023-04,GRUENE–>FDP,FDP,-5.0,50793,-0.9843876124662847
2023-04,GRUENE–>SPD,SPD,16.0,84560,1.8921475875118259
2023-04,SPD–>FDP,FDP,3.0,50793,0.5906325674797709
2023-04,SPD–>GRUENE,GRUENE,11.0,61335,1.793429526371566
2023-05,FDP–>GRUENE,GRUENE,3.0,55985,0.5358578190586765
2023-05,FDP–>SPD,SPD,19.0,106282,1.7876968818802808
2023-05,GRUENE–>FDP,FDP,8.0,49026,1.631787214947171
2023-05,GRUENE–>SPD,SPD,15.0,106282,1.4113396435896954
2023-05,SPD–>FDP,FDP,9.0,49026,1.8357606168155671
2023-05,SPD–>GRUENE,GRUENE,7.0,55985,1.2503349111369118
2023-06,FDP–>GRUENE,GRUENE,6.0,77123,0.7779780350868094
2023-06,FDP–>SPD,SPD,11.0,106525,1.0326214503637643
2023-06,GRUENE–>FDP,FDP,4.0,49540,0.8074283407347599
2023-06,GRUENE–>SPD,SPD,14.0,106525,1.3142454822811547
2023-06,SPD–>FDP,FDP,0.0,49540,0.0
2023-06,SPD–>GRUENE,GRUENE,10.0,77123,1.2966300584780157
2023-07,FDP–>GRUENE,GRUENE,-2.0,26777,-0.7469096612764685
2023-07,FDP–>SPD,SPD,12.0,49476,2.4254183846713557
2023-07,GRUENE–>FDP,FDP,3.0,21891,1.3704262025489926
2023-07,GRUENE–>SPD,SPD,10.0,49476,2.0211819872261296
2023-07,SPD–>FDP,FDP,4.0,21891,1.8272349367319902
2023-07,SPD–>GRUENE,GRUENE,11.0,26777,4.108003137020577
2023-09,FDP–>GRUENE,GRUENE,13.0,105829,1.228396753252889
2023-09,FDP–>SPD,SPD,12.0,173056,0.6934171597633136
2023-09,GRUENE–>FDP,FDP,11.0,94950,1.1585044760400212
2023-09,GRUENE–>SPD,SPD,26.0,173056,1.5024038461538463
2023-09,SPD–>FDP,FDP,14.0,94950,1.474460242232754
2023-09,SPD–>GRUENE,GRUENE,25.0,105829,2.3623014485632483
2023-10,FDP–>GRUENE,GRUENE,4.0,62196,0.6431281754453663
2023-10,FDP–>SPD,SPD,1.0,101262,0.09875372795323023
2023-10,GRUENE–>FDP,FDP,7.0,48387,1.4466695600057866
2023-10,GRUENE–>SPD,SPD,13.0,101262,1.283798463391993
2023-10,SPD–>FDP,FDP,5.0,48387,1.0333354000041333
2023-10,SPD–>GRUENE,GRUENE,8.0,62196,1.2862563508907325
2023-11,FDP–>GRUENE,GRUENE,11.0,87705,1.2542044353229578
2023-11,FDP–>SPD,SPD,13.0,154300,0.8425145819831498
2023-11,GRUENE–>FDP,FDP,13.0,68057,1.910163539386103
2023-11,GRUENE–>SPD,SPD,38.0,154300,2.4627349319507457
2023-11,SPD–>FDP,FDP,10.0,68057,1.4693565687585406
2023-11,SPD–>GRUENE,GRUENE,30.0,87705,3.420557550880794
2023-12,FDP–>GRUENE,GRUENE,-1.0,39572,-0.25270393207318304
2023-12,FDP–>SPD,SPD,12.0,65556,1.8304960644334616
2023-12,GRUENE–>FDP,FDP,14.0,30415,4.602991944764097
2023-12,GRUENE–>SPD,SPD,10.0,65556,1.5254133870278845
2023-12,SPD–>FDP,FDP,11.0,30415,3.616636528028933
2023-12,SPD–>GRUENE,GRUENE,7.0,39572,1.7689275245122815
2024-01,FDP–>GRUENE,GRUENE,7.0,56185,1.2458841327756518
2024-01,FDP–>SPD,SPD,12.0,87198,1.376178352714512
2024-01,GRUENE–>FDP,FDP,13.0,38416,3.3840066638900455
2024-01,GRUENE–>SPD,SPD,14.0,87198,1.6055414115002637
2024-01,SPD–>FDP,FDP,13.0,38416,3.3840066638900455
